Date,Price,Open,High,Low,Vol.,Change %
2011-01,"1,286.10","1,257.60","1,302.70","1,257.60",,2.27%
2010-12,"1,257.60","1,186.60","1,262.60","1,186.60",,6.53%
2010-11,"1,180.50","1,185.70","1,227.10","1,173.00",,-0.24%
2010-10,"1,183.30","1,143.50","1,196.10","1,131.90",,3.69%
2010-09,"1,141.20","1,049.70","1,157.20","1,049.70",,8.76%
2010-08,"1,049.30","1,107.50","1,129.20","1,039.70",,-4.75%
2010-07,"1,101.60","1,031.10","1,121.00","1,010.90",,6.88%
2010-06,"1,030.70","1,087.30","1,131.20","1,028.30",,-5.39%
2010-05,"1,089.40","1,188.60","1,205.10","1,040.80",,-8.20%
2010-04,"1,186.70","1,171.20","1,219.80","1,170.70",,1.48%
2010-03,"1,169.40","1,105.40","1,180.70","1,105.40",,5.88%
2010-02,"1,104.50","1,073.90","1,112.40","1,044.50",,2.85%
2010-01,"1,073.90","1,116.60","1,150.50","1,071.60",,-3.69%
2009-12,"1,115.10","1,098.90","1,130.40","1,085.90",,1.78%
2009-11,"1,095.60","1,036.20","1,113.70","1,029.40",,5.73%
2009-10,"1,036.20","1,054.90","1,101.40","1,020.00",,-1.98%
2009-09,"1,057.10","1,019.50","1,080.20",992.00,,3.58%
2009-08,"1,020.60",990.20,"1,039.50",978.50,,3.35%
2009-07,987.50,920.80,996.70,869.30,,7.42%
2009-06,919.30,923.30,956.20,888.90,,0.02%
2009-05,919.10,872.70,930.20,866.10,,5.30%
2009-04,872.80,793.60,888.70,783.30,,9.39%
2009-03,797.90,729.60,833.00,666.80,,8.54%
2009-02,735.10,823.10,875.00,734.50,,-10.99%
2009-01,825.90,903.00,943.90,804.30,,-8.56%
2008-12,903.20,888.60,918.90,815.70,,0.78%
2008-11,896.20,968.70,"1,007.50",741.00,,-7.49%
2008-10,968.80,"1,164.20","1,167.00",839.80,,-16.94%
2008-09,"1,166.40","1,287.80","1,303.00","1,106.40",,-9.07%
2008-08,"1,282.80","1,269.40","1,313.20","1,247.50",,1.22%
2008-07,"1,267.40","1,276.70","1,292.20","1,200.40",,-0.98%
2008-06,"1,280.00","1,399.60","1,404.00","1,272.00",,-8.60%
2008-05,"1,400.40","1,386.00","1,440.20","1,373.10",,1.07%
2008-04,"1,385.60","1,326.40","1,404.60","1,324.30",,4.76%
2008-03,"1,322.70","1,330.50","1,359.70","1,257.00",,-0.59%
2008-02,"1,330.60","1,378.60","1,396.00","1,316.80",,-3.47%
2008-01,"1,378.50","1,468.00","1,471.80","1,270.00",,-6.12%
2007-12,"1,468.40","1,479.60","1,523.60","1,435.70",,-0.86%
2007-11,"1,481.10","1,545.80","1,545.80","1,406.10",,-4.41%
2007-10,"1,549.40","1,527.30","1,576.10","1,489.60",,1.48%
2007-09,"1,526.80","1,474.00","1,538.70","1,439.30",,3.58%
2007-08,"1,474.00","1,455.20","1,503.90","1,370.60",,1.28%
2007-07,"1,455.30","1,504.70","1,555.90","1,454.20",,-3.19%
2007-06,"1,503.30","1,530.60","1,540.60","1,484.20",,-1.78%
2007-05,"1,530.60","1,482.40","1,535.60","1,476.70",,3.25%
2007-04,"1,482.40","1,420.80","1,498.00","1,416.40",,4.33%
2007-03,"1,420.90","1,406.80","1,438.90","1,364.00",,1.00%
2007-02,"1,406.80","1,437.90","1,461.60","1,389.40",,-2.18%
2007-01,"1,438.20","1,418.00","1,441.60","1,404.00",,1.40%
2006-12,"1,418.30","1,400.60","1,431.80","1,385.90",,1.26%
2006-11,"1,400.60","1,377.80","1,407.90","1,361.00",,1.65%
2006-10,"1,377.90","1,335.80","1,389.50","1,327.10",,3.15%
2006-09,"1,335.80","1,303.80","1,340.30","1,290.90",,2.45%
2006-08,"1,303.80","1,278.50","1,306.70","1,261.30",,2.12%
2006-07,"1,276.70","1,270.10","1,280.40","1,224.50",,0.51%
2006-06,"1,270.20","1,270.00","1,290.70","1,219.30",,0.01%
2006-05,"1,270.10","1,310.60","1,326.70","1,245.30",,-3.09%
2006-04,"1,310.60","1,302.90","1,318.20","1,280.70",,1.22%
2006-03,"1,294.80","1,280.70","1,310.90","1,268.40",,1.10%
2006-02,"1,280.70","1,280.10","1,297.60","1,253.60",,0.05%
